"","rn","SYSTEM","RELEASE","CLASS","WMC","DIT","NOC","CBO","RFC","LCOM","CA","CE","NPM","LCOM3","LOC","DAM","MOA","MFA","CAM","IC","CBM","AMC","nextClass","nextLCOM","deltaLCOM","absDeltaLCOM"
"1","26","ant","1.8.4","org.apache.tools.ant.AntClassLoader",63,2,3,53,176,1517,40,15,39,0.8685,2035,0.8,2,541,0.1567,1,6,30.9841,"org.apache.tools.ant.AntClassLoader",1455,-62,62
"2","73","ant","1.8.4","org.apache.tools.ant.AntTypeDefinition",24,1,2,15,50,172,11,4,20,0.75,611,875,0,0,0.2679,0,0,24.125,"org.apache.tools.ant.AntTypeDefinition",149,-23,23
"3","523","ant","1.8.4","org.apache.tools.ant.Diagnostics",36,1,0,9,119,628,2,8,6,1.0143,1160,0.8,0,0,0.0926,0,0,30.9444,"org.apache.tools.ant.Diagnostics",595,-33,33
"4","2240","ant","1.5.4","org.apache.tools.ant.helper.ProjectHelperImpl$ProjectHandler",8,3,0,10,38,28,1,9,3,2,301,0,0,0.7083,0.6,1,1,36.625,"org.apache.tools.ant.helper.ProjectHelperImpl$ProjectHandler",6,-22,22
"5","2521","ant","1.6.5","org.apache.tools.ant.IntrospectionHelper",41,1,0,33,118,624,18,29,30,0.9116,1861,0.3571,0,0,0.2556,0,0,43.7073,"org.apache.tools.ant.IntrospectionHelper",452,-172,172
"6","3379","ant","1.6.5","org.apache.tools.ant.loader.AntClassLoader2",8,3,0,6,63,24,1,5,1,0.9048,444,0.6667,1,0.9512,0.4857,2,12,54.125,"org.apache.tools.ant.loader.AntClassLoader2",0,-24,24
"7","3578","ant","1.8.4","org.apache.tools.ant.Project",127,1,0,383,299,7533,368,33,110,0.9764,2538,0.5946,6,0,87,0,0,18.6929,"org.apache.tools.ant.Project",7415,-118,118
"8","3651","ant","1.4.1","org.apache.tools.ant.ProjectHelper",19,1,0,24,81,147,17,8,7,0.8611,560,1,1,0,0.1713,0,0,28.1579,"org.apache.tools.ant.ProjectHelper",78,-69,69
"9","3760","ant","1.8.4","org.apache.tools.ant.ProjectHelperRepository",16,1,0,9,58,60,6,5,6,0.8,427,875,1,0,0.2111,0,0,25.1875,"org.apache.tools.ant.ProjectHelperRepository",39,-21,21
"10","3897","ant","1.8.4","org.apache.tools.ant.PropertyHelper",48,1,0,30,111,964,22,13,37,0.8632,1154,0.7143,6,0,0.2043,0,0,22.75,"org.apache.tools.ant.PropertyHelper",917,-47,47
"11","4077","ant","1.6.5","org.apache.tools.ant.Target",27,1,0,33,62,223,28,7,23,0.8365,476,1,2,0,0.2531,0,0,16.3333,"org.apache.tools.ant.Target",200,-23,23
"12","4283","ant","1.8.4","org.apache.tools.ant.taskdefs.Ant",31,3,0,20,139,207,3,17,20,0.86,1213,0.9333,2,0.5692,0.1389,3,5,37.6452,"org.apache.tools.ant.taskdefs.Ant",177,-30,30
"13","4721","ant","1.8.4","org.apache.tools.ant.taskdefs.Checksum",28,4,0,15,113,278,2,14,18,0.8808,1118,0.9565,2,0.75,0.1582,0,0,38.1071,"org.apache.tools.ant.taskdefs.Checksum",225,-53,53
"14","4944","ant","1.6.1","org.apache.tools.ant.taskdefs.compilers.DefaultCompilerAdapter",21,1,8,23,98,112,8,15,4,0.7304,951,1,9,0,0.2429,0,0,43.1905,"org.apache.tools.ant.taskdefs.compilers.DefaultCompilerAdapter",92,-20,20
"15","5210","ant","1.6.5","org.apache.tools.ant.taskdefs.Concat",32,3,0,15,110,294,2,15,19,0.8558,1068,1,3,0.5522,0.1152,0,0,31.8438,"org.apache.tools.ant.taskdefs.Concat",268,-26,26
"16","6011","ant","1.8.4","org.apache.tools.ant.taskdefs.Copy",51,3,2,27,165,979,4,24,30,0.9163,2033,0.8438,3,0.4302,0.12,2,2,38.2353,"org.apache.tools.ant.taskdefs.Copy",929,-50,50
"17","6114","ant","1.4.1","org.apache.tools.ant.taskdefs.Cvs",15,3,0,15,54,59,0,15,15,881,398,1,1,0.7255,0.3733,0,0,24.7333,"org.apache.tools.ant.taskdefs.Cvs",0,-59,59
"18","6241","ant","1.5.1","org.apache.tools.ant.taskdefs.cvslib.CvsTagDiff",23,3,0,8,77,115,0,8,18,0.8939,727,0.75,2,0.6271,0.2337,1,1,30.087,"org.apache.tools.ant.taskdefs.cvslib.CvsTagDiff",20,-95,95
"19","6594","ant","1.8.4","org.apache.tools.ant.taskdefs.Delete",50,4,0,43,151,181,2,42,42,0.9004,1357,0.9412,5,619,0.0743,3,5,25.8,"org.apache.tools.ant.taskdefs.Delete",132,-49,49
"20","6945","ant","1.8.4","org.apache.tools.ant.taskdefs.email.EmailTask",36,3,2,18,108,488,2,16,34,0.9527,978,0.7586,3,0.5139,0.1833,3,3,25.3611,"org.apache.tools.ant.taskdefs.email.EmailTask",453,-35,35
"21","7258","ant","1.8.4","org.apache.tools.ant.taskdefs.Execute",35,1,0,68,133,509,50,23,26,0.8406,1175,0.8947,7,0,0.1041,0,0,32.0286,"org.apache.tools.ant.taskdefs.Execute",420,-89,89
"22","7535","ant","1.8.4","org.apache.tools.ant.taskdefs.ExecuteOn",34,4,4,31,115,437,4,27,20,0.8788,1391,0.9474,5,0.7027,0.1268,3,9,39.3529,"org.apache.tools.ant.taskdefs.ExecuteOn",404,-33,33
"23","7718","ant","1.8.4","org.apache.tools.ant.taskdefs.Expand",25,3,1,18,100,240,1,17,17,0.9167,878,0.8125,3,0.6167,0.1667,2,2,33.48,"org.apache.tools.ant.taskdefs.Expand",216,-24,24
"24","7771","ant","1.6.5","org.apache.tools.ant.taskdefs.FixCRLF",19,4,0,10,87,97,1,10,12,0.9583,1219,1,1,0.8125,0.1818,2,2,61.4737,"org.apache.tools.ant.taskdefs.FixCRLF",54,-43,43
"25","8004","ant","1.8.4","org.apache.tools.ant.taskdefs.Get",29,3,0,17,85,300,2,16,18,0.9304,692,0.95,3,0.5781,0.1494,2,2,22.1724,"org.apache.tools.ant.taskdefs.Get",272,-28,28
"26","8453","ant","1.8.4","org.apache.tools.ant.taskdefs.Javadoc",109,3,0,35,284,5342,8,35,83,962,2818,0.9459,11,0.2569,108,0,0,24.5138,"org.apache.tools.ant.taskdefs.Javadoc",5234,-108,108
"27","9165","ant","1.6.5","org.apache.tools.ant.taskdefs.LoadProperties",11,3,0,10,59,19,0,10,10,0.7833,350,0.8333,1,0.7872,0.2576,2,3,30.2727,"org.apache.tools.ant.taskdefs.LoadProperties",0,-19,19
"28","9278","ant","1.8.4","org.apache.tools.ant.taskdefs.MacroDef",24,4,0,15,77,218,6,14,16,0.8551,606,0.8889,2,0.6406,0.1719,1,1,23.875,"org.apache.tools.ant.taskdefs.MacroDef",195,-23,23
"29","9457","ant","1.8.4","org.apache.tools.ant.taskdefs.Manifest",23,1,0,8,88,111,3,6,18,0.9306,666,0.3684,1,0,0.1566,1,1,27.1304,"org.apache.tools.ant.taskdefs.Manifest",89,-22,22
"30","9612","ant","1.1","org.apache.tools.ant.taskdefs.MatchingTask",15,3,10,15,52,79,12,4,10,0.7143,366,1,0,0.7255,0.4667,0,0,23.2,"org.apache.tools.ant.taskdefs.MatchingTask",0,-79,79
"31","9755","ant","1.2","org.apache.tools.ant.taskdefs.optional.Cab",17,4,0,10,71,78,0,10,8,0.85,460,1,0,0.8387,0.25,2,2,25.4706,"org.apache.tools.ant.taskdefs.optional.Cab",35,-43,43
"32","10896","ant","1.8.4","org.apache.tools.ant.taskdefs.optional.ejb.BorlandDeploymentTool",26,0,0,18,118,255,2,17,14,0.96,904,0.7895,0,0,0.2179,0,0,33.0385,"org.apache.tools.ant.taskdefs.optional.ejb.BorlandDeploymentTool",230,-25,25
"33","12362","ant","1.8.4","org.apache.tools.ant.taskdefs.optional.jdepend.JDependTask",32,3,0,19,110,422,0,19,28,0.9253,998,0.8947,0,0.5522,0.1484,3,3,29.5938,"org.apache.tools.ant.taskdefs.optional.jdepend.JDependTask",391,-31,31
"34","12476","ant","1.6.1","org.apache.tools.ant.taskdefs.optional.jsp.compilers.DefaultJspCompilerAdapter",12,1,1,10,29,62,1,9,7,0.8636,133,1,1,0,0.3333,0,0,9.9167,"org.apache.tools.ant.taskdefs.optional.jsp.compilers.DefaultJspCompilerAdapter",41,-21,21
"35","13084","ant","1.8.4","org.apache.tools.ant.taskdefs.optional.junit.JUnitTask",81,3,0,37,309,2936,3,36,39,0.9415,2827,0.8182,3,319,0.0745,2,4,33.358,"org.apache.tools.ant.taskdefs.optional.junit.JUnitTask",2860,-76,76
"36","13337","ant","1.8.4","org.apache.tools.ant.taskdefs.optional.junit.JUnitTestRunner",45,1,0,25,167,858,7,21,26,883,1880,0.8889,1,0,0.1089,0,0,40.1778,"org.apache.tools.ant.taskdefs.optional.junit.JUnitTestRunner",814,-44,44
"37","13376","ant","1.7.0","org.apache.tools.ant.taskdefs.optional.junit.JUnitTestRunner$3",10,1,0,7,13,45,1,7,9,2,25,0,0,0,0.3,0,0,1.5,"org.apache.tools.ant.taskdefs.optional.junit.JUnitTestRunner$3",0,-45,45
"38","14056","ant","1.8.4","org.apache.tools.ant.taskdefs.optional.net.FTPTask",79,3,0,22,115,2835,9,13,72,0.9786,960,0.7308,3,0.3246,0.1207,0,0,10.4937,"org.apache.tools.ant.taskdefs.optional.net.FTPTask",2763,-72,72
"39","16228","ant","1.8.4","org.apache.tools.ant.taskdefs.optional.TraXLiaison",26,1,0,18,128,251,1,18,15,0.8133,904,0.8889,5,0,0.1745,0,0,33.0769,"org.apache.tools.ant.taskdefs.optional.TraXLiaison",222,-29,29
"40","16303","ant","1.7.1","org.apache.tools.ant.taskdefs.optional.unix.Symlink",23,4,0,13,96,181,0,13,16,0.7159,874,1,0,0.6557,0.2273,0,0,36.6522,"org.apache.tools.ant.taskdefs.optional.unix.Symlink",147,-34,34
"41","16831","ant","1.1","org.apache.tools.ant.taskdefs.Patch",10,4,0,4,19,19,0,4,10,0.8095,181,1,0,0.8364,0.36,1,1,16.4,"org.apache.tools.ant.taskdefs.Patch",0,-19,19
"42","17057","ant","1.8.4","org.apache.tools.ant.taskdefs.Property",44,3,0,17,112,850,5,12,31,0.9193,916,0.9412,3,0.4744,0.1458,0,0,19.4318,"org.apache.tools.ant.taskdefs.Property",807,-43,43
"43","17261","ant","1.7.1","org.apache.tools.ant.taskdefs.Redirector",44,1,0,24,110,684,6,19,30,0.8974,1225,1,3,0,0.1431,0,0,26.1818,"org.apache.tools.ant.taskdefs.Redirector",408,-276,276
"44","17344","ant","1.8.4","org.apache.tools.ant.taskdefs.Replace",36,4,0,16,124,458,4,16,22,916,933,0.9412,6,0.6964,0.1964,1,1,24.4444,"org.apache.tools.ant.taskdefs.Replace",423,-35,35
"45","17491","ant","1.8.4","org.apache.tools.ant.taskdefs.Rmic",58,4,0,26,131,1453,8,20,52,0.9671,952,0.7188,6,0.5821,0.1526,4,4,14.8621,"org.apache.tools.ant.taskdefs.Rmic",1396,-57,57
"46","17822","ant","1.8.4","org.apache.tools.ant.taskdefs.SignJar",27,4,0,12,70,287,0,12,21,0.9528,557,0.6364,2,0.7059,0.2756,0,0,18.8148,"org.apache.tools.ant.taskdefs.SignJar",261,-26,26
"47","17861","ant","1.4.1","org.apache.tools.ant.taskdefs.SQLExec",26,3,0,15,111,233,1,15,22,0.9026,1160,1,2,0.5968,0.1603,3,3,42.7308,"org.apache.tools.ant.taskdefs.SQLExec",87,-146,146
"48","18097","ant","1.8.4","org.apache.tools.ant.taskdefs.Tar",23,4,0,27,177,171,1,27,10,0.9318,1283,0.3125,2,0.78,0.1739,1,1,54.087,"org.apache.tools.ant.taskdefs.Tar",151,-20,20
"49","18143","ant","1.6.5","org.apache.tools.ant.taskdefs.Tar$TarFileSet",21,5,0,4,28,130,1,3,21,875,198,1,0,0.8288,254,0,0,7.9524,"org.apache.tools.ant.taskdefs.Tar$TarFileSet",5,-125,125
"50","18786","ant","1.8.4","org.apache.tools.ant.taskdefs.XmlProperty",37,3,0,10,110,534,0,10,17,0.9339,1092,0.9048,3,0.5139,0.1852,2,2,27.9459,"org.apache.tools.ant.taskdefs.XmlProperty",498,-36,36
"51","18936","ant","1.8.4","org.apache.tools.ant.taskdefs.XSLTProcess",58,4,0,34,163,1427,4,34,40,0.9341,1466,0.9394,11,0.5821,0.0975,4,6,23.7069,"org.apache.tools.ant.taskdefs.XSLTProcess",1372,-55,55
"52","19118","ant","1.8.4","org.apache.tools.ant.taskdefs.Zip",78,4,1,45,269,2471,5,44,36,0.9293,3319,0.9737,5,0.5065,0.0963,0,0,41.0641,"org.apache.tools.ant.taskdefs.Zip",2396,-75,75
"53","19393","ant","1.8.4","org.apache.tools.ant.types.ArchiveFileSet",38,5,2,19,86,407,6,13,30,0.8865,732,0.8,1,0.7244,0.1459,4,18,17.8684,"org.apache.tools.ant.types.ArchiveFileSet",370,-37,37
"54","19968","ant","1.8.4","org.apache.tools.ant.types.FilterSet",27,3,0,13,89,243,7,8,19,0.7857,846,0.7857,1,0.5455,0.2169,2,3,29.8148,"org.apache.tools.ant.types.FilterSet",217,-26,26
"55","20667","ant","1.8.4","org.apache.tools.ant.types.Path",39,3,0,119,125,621,107,14,29,0.8346,1169,0.5714,3,0.4545,0.1222,2,6,28.7949,"org.apache.tools.ant.types.Path",585,-36,36
"56","21060","ant","1.8.4","org.apache.tools.ant.types.RedirectorElement",29,3,0,13,87,276,5,8,24,881,874,0.9524,3,0.5172,0.1862,1,4,28.4138,"org.apache.tools.ant.types.RedirectorElement",248,-28,28
"57","21384","ant","1.8.1","org.apache.tools.ant.types.resources.BaseResourceCollectionWrapper",14,3,4,12,46,67,5,7,8,0.8462,261,0.8,1,0.6977,0.2143,1,3,17.2857,"org.apache.tools.ant.types.resources.BaseResourceCollectionWrapper",8,-59,59
"58","21577","ant","1.7.1","org.apache.tools.ant.types.resources.CompressedResource",24,4,2,7,49,270,2,5,20,0.7391,252,1,1,0.7067,162,2,15,9.4167,"org.apache.tools.ant.types.resources.CompressedResource",6,-264,264
"59","22432","ant","1.9.3","org.apache.tools.ant.types.resources.URLResource",27,4,0,9,69,297,4,5,21,0.6859,477,1,1,0.7162,0.1624,2,13,16.4444,"org.apache.tools.ant.types.resources.URLResource",275,-22,22
"60","23029","ant","1.8.4","org.apache.tools.ant.types.selectors.modifiedselector.ModifiedSelector",41,5,0,30,124,666,6,24,36,0.91,1026,0.88,6,0.4872,0.1143,2,4,23.4146,"org.apache.tools.ant.types.selectors.modifiedselector.ModifiedSelector",626,-40,40
"61","23634","ant","1.6.5","org.apache.tools.ant.types.XMLCatalog",30,3,0,15,109,395,5,12,13,0.8697,931,0.5556,4,0.5172,0.2112,1,1,29.7333,"org.apache.tools.ant.types.XMLCatalog",372,-23,23
"62","23722","ant","1.6.5","org.apache.tools.ant.types.ZipFileSet",19,5,0,12,46,25,4,8,16,0.4889,458,0.8,0,0.8519,0.2982,4,15,22.5789,"org.apache.tools.ant.types.ZipFileSet",6,-19,19
"63","25425","ant","1.8.4","org.apache.tools.ant.util.ResourceUtils",20,1,0,36,123,184,14,23,14,0.9649,1213,0.3333,1,0,0.1875,0,0,59.35,"org.apache.tools.ant.util.ResourceUtils",165,-19,19
"64","25986","ant","1.1","org.apache.tools.ant.XmlLogger",12,1,0,6,56,32,0,6,8,0.9679,423,1,0,0,0.2879,0,0,32.8333,"org.apache.tools.ant.XmlLogger",11,-21,21
"65","26113","ant","1.6.5","org.apache.tools.bzip2.CBZip2InputStream",32,2,0,4,40,330,2,2,2,0.7728,2011,0.7778,1,225,0.2063,1,1,60.4375,"org.apache.tools.bzip2.CBZip2InputStream",53,-277,277
"66","26159","ant","1.8.3","org.apache.tools.bzip2.CBZip2OutputStream",42,2,0,6,61,421,3,3,9,0.8829,4569,0.9333,2,0.1136,0.1897,1,1,107.0714,"org.apache.tools.bzip2.CBZip2OutputStream",246,-175,175
"67","26903","ant","1.6.5","org.apache.tools.zip.ZipEntry",31,2,0,9,85,317,6,3,22,0.8583,615,0.9167,0,0.5,0.14,1,3,18.4516,"org.apache.tools.zip.ZipEntry",229,-88,88
"68","27206","javacc","5.0","org.javacc.jjdoc.BNFGenerator",29,1,0,9,56,362,1,9,25,0.9107,329,0.6667,0,0,0.1954,0,0,10.1379,"org.javacc.jjdoc.BNFGenerator",334,-28,28
"69","27219","javacc","6.0","org.javacc.jjdoc.Generator",24,1,0,11,24,276,5,6,24,2,24,0,0,0,0.2037,0,0,0,"org.javacc.jjdoc.Generator",253,-23,23
"70","27231","javacc","6.0","org.javacc.jjdoc.HTMLGenerator",23,0,0,10,42,245,1,10,21,0.8636,417,1,0,0,0.1981,0,0,17.0435,"org.javacc.jjdoc.HTMLGenerator",223,-22,22
"71","27238","javacc","4.0","org.javacc.jjdoc.JJDoc",22,0,0,34,62,229,1,33,1,2,983,0,0,0,0.0963,0,0,43.6818,"org.javacc.jjdoc.JJDoc",153,-76,76
"72","27286","javacc","6.0","org.javacc.jjdoc.TextGenerator",26,1,1,10,43,269,2,9,25,0.56,238,1,0,0,0.1966,0,0,8.1154,"org.javacc.jjdoc.TextGenerator",244,-25,25
"73","27897","javacc","5.0","org.javacc.jjtree.JJTreeNode",18,0,41,48,35,145,44,7,11,0.8382,362,1,2,0,0.2431,0,0,18.8889,"org.javacc.jjtree.JJTreeNode",70,-75,75
"74","27907","javacc","6.0","org.javacc.jjtree.JJTreeOptions",21,0,0,14,31,210,12,2,20,2,228,0,0,0,0.0476,0,0,9.8571,"org.javacc.jjtree.JJTreeOptions",190,-20,20
"75","27972","javacc","4.0","org.javacc.jjtree.JJTreeParserTokenManager",47,1,0,6,67,209,1,5,7,0.9044,9772,0.0482,1,0,0.3188,0,0,205.1489,"org.javacc.jjtree.JJTreeParserTokenManager",169,-40,40
"76","28052","javacc","5.0","org.javacc.jjtree.NodeScope",17,1,0,18,60,70,9,14,0,0.6667,901,1,2,0,0.2193,0,0,51.6471,"org.javacc.jjtree.NodeScope",12,-58,58
"77","28071","javacc","4.0","org.javacc.jjtree.SimpleNode",27,1,40,47,43,327,43,6,19,0.8956,531,1,4,0,0.2269,0,0,18.4074,"org.javacc.jjtree.SimpleNode",73,-254,254
"78","28320","javacc","4.0","org.javacc.parser.JavaCCParserTokenManager",50,1,0,6,72,267,1,5,7,0.9087,9917,46,1,0,0.3129,0,0,195.6,"org.javacc.parser.JavaCCParserTokenManager",224,-43,43
"79","29053","jetty","7.2.1.v20101111","org.eclipse.jetty.ajp.Ajp13Connection",33,0,0,18,47,82,3,17,4,2,188,0,0,0,0.1919,0,0,4.697,"org.eclipse.jetty.ajp.Ajp13Connection",23,-59,59
"80","29292","jetty","7.6.16.v20140903","org.eclipse.jetty.ajp.Ajp13Generator",23,0,0,13,70,59,2,11,16,0.8,1409,1,0,0,0.1875,0,0,59.8261,"org.eclipse.jetty.ajp.Ajp13Generator",0,-59,59
"81","29502","jetty","7.6.16.v20140903","org.eclipse.jetty.ajp.Ajp13Parser",24,1,0,15,100,72,2,13,18,0.8478,1397,0.9583,2,0,0.1576,0,0,56.2083,"org.eclipse.jetty.ajp.Ajp13Parser",16,-56,56
"82","29973","jetty","7.5.0.RC0","org.eclipse.jetty.ajp.Ajp13SocketConnector",12,0,0,10,34,62,1,9,9,0.9091,105,0,0,0,0.3182,0,0,7.5833,"org.eclipse.jetty.ajp.Ajp13SocketConnector",24,-38,38
"83","30312","jetty","8.1.7.v20120910","org.eclipse.jetty.annotations.AnnotationConfiguration",16,0,0,29,102,100,3,29,12,0.9556,684,0.3333,0,0,0.3333,0,0,41.5625,"org.eclipse.jetty.annotations.AnnotationConfiguration",55,-45,45
"84","30806","jetty","9.0.7.v20131107","org.eclipse.jetty.annotations.AnnotationDecorator",10,1,0,15,23,43,1,14,9,0.5556,101,0,1,0,0.25,0,0,9,"org.eclipse.jetty.annotations.AnnotationDecorator",4,-39,39
"85","31204","jetty","7.6.16.v20140903","org.eclipse.jetty.annotations.AnnotationParser",23,1,0,22,80,217,12,13,15,0.8864,593,1,0,0,0.1515,0,0,24.5217,"org.eclipse.jetty.annotations.AnnotationParser",85,-132,132
"86","34824","jetty","9.1.0.RC0","org.eclipse.jetty.client.AbstractHttpClientTransport",12,0,1,19,49,48,3,18,2,0.8182,219,1,1,0,0.2636,0,0,16.9167,"org.eclipse.jetty.client.AbstractHttpClientTransport",20,-28,28
"87","35536","jetty","9.0.7.v20131107","org.eclipse.jetty.client.api.Request",54,1,0,63,54,1431,48,22,54,2,54,0,0,0,0.0622,0,0,0,"org.eclipse.jetty.client.api.Request",1378,-53,53
"88","37510","jetty","9.2.14.v20151106","org.eclipse.jetty.client.http.HttpConnectionOverHTTP",21,0,0,22,61,140,7,18,13,0.8071,289,1,2,0,155,0,0,12.4286,"org.eclipse.jetty.client.http.HttpConnectionOverHTTP",120,-20,20
"89","37578","jetty","9.1.0.RC0","org.eclipse.jetty.client.http.HttpDestinationOverHTTP",13,0,0,15,38,22,5,13,7,0.1667,250,1,1,0,0.2,0,0,18.1538,"org.eclipse.jetty.client.http.HttpDestinationOverHTTP",3,-19,19
"90","37630","jetty","9.2.9.v20150224","org.eclipse.jetty.client.http.HttpReceiverOverHTTP",31,0,0,23,88,401,2,23,14,0.85,467,0.75,0,0,0.1433,0,0,13.9355,"org.eclipse.jetty.client.http.HttpReceiverOverHTTP",351,-50,50
"91","37886","jetty","8.1.16.v20140903","org.eclipse.jetty.client.HttpClient",104,0,0,31,208,3998,11,25,98,0.9503,891,0.8462,4,0,0.0855,0,0,7.3173,"org.eclipse.jetty.client.HttpClient",1765,-2233,2233
"92","38327","jetty","8.0.4.v20111024","org.eclipse.jetty.client.HttpConnection",34,0,0,35,143,269,9,30,16,0.8961,2834,1,3,0,124,0,0,81.9412,"org.eclipse.jetty.client.HttpConnection",114,-155,155
"93","38572","jetty","9.0.0.RC0","org.eclipse.jetty.client.HttpConversation",13,1,0,12,28,32,11,3,13,0.8167,113,1,1,0,0.2308,0,0,7.3077,"org.eclipse.jetty.client.HttpConversation",4,-28,28
"94","38685","jetty","8.1.16.v20140903","org.eclipse.jetty.client.HttpDestination",41,1,0,35,128,466,21,21,33,0.8181,1424,1,4,0,0.1117,0,0,33.2927,"org.eclipse.jetty.client.HttpDestination",116,-350,350
"95","39120","jetty","8.1.16.v20140903","org.eclipse.jetty.client.HttpExchange",71,1,3,36,149,2293,20,21,46,0.9654,1431,0.5,4,0,0.0955,0,0,18.5915,"org.eclipse.jetty.client.HttpExchange",146,-2147,2147
"96","39602","jetty","9.0.7.v20131107","org.eclipse.jetty.client.HttpReceiver",23,1,0,30,109,25,1,30,14,0.3545,807,1,2,0,157,0,0,33.8696,"org.eclipse.jetty.client.HttpReceiver",0,-25,25
"97","39824","jetty","9.0.7.v20131107","org.eclipse.jetty.client.HttpRequest",64,1,0,44,144,1724,14,44,56,0.9282,917,1,2,0,0.0584,0,0,13,"org.eclipse.jetty.client.HttpRequest",1661,-63,63
"98","40429","jetty","9.2.9.v20150224","org.eclipse.jetty.client.HttpSender",33,1,1,29,89,284,4,28,5,0.7639,1003,1,2,0,0.1641,0,0,29.1212,"org.eclipse.jetty.client.HttpSender",203,-81,81
"99","40697","jetty","9.0.0.M3","org.eclipse.jetty.client.HttpSender$StatefulExecutorCallback",12,1,1,5,18,36,3,4,8,0.4091,128,1,0,0,0.3056,0,0,9.5,"org.eclipse.jetty.client.HttpSender$StatefulExecutorCallback",15,-21,21
"100","40975","jetty","9.2.14.v20151106","org.eclipse.jetty.client.PoolingHttpDestination",16,0,1,17,51,48,3,16,12,0.4,329,1,1,0,0.1938,0,0,19.5,"org.eclipse.jetty.client.PoolingHttpDestination",19,-29,29
"101","42223","jetty","7.1.6.v20100715","org.eclipse.jetty.client.SelectConnector$Manager",11,0,0,16,47,35,1,16,1,0.5,183,0,1,0,197,0,0,15.5455,"org.eclipse.jetty.client.SelectConnector$Manager",16,-19,19
"102","43380","jetty","9.0.0.v20130308","org.eclipse.jetty.client.util.InputStreamResponseListener",21,0,0,7,41,142,1,7,10,875,326,1,2,0,175,0,0,13.9524,"org.eclipse.jetty.client.util.InputStreamResponseListener",120,-22,22
"103","46666","jetty","7.6.16.v20140903","org.eclipse.jetty.deploy.ContextDeployer",32,0,0,17,91,372,2,17,21,0.8226,427,1,2,0,0.1613,0,0,12.0313,"org.eclipse.jetty.deploy.ContextDeployer",325,-47,47
"104","46844","jetty","7.2.0.v20101020","org.eclipse.jetty.deploy.DeploymentManager",39,0,0,19,101,499,8,17,33,0.8383,737,1,1,0,0.1432,0,0,17.7179,"org.eclipse.jetty.deploy.DeploymentManager",442,-57,57
"105","48139","jetty","7.6.16.v20140903","org.eclipse.jetty.deploy.providers.ContextProvider",10,0,0,11,32,25,1,11,8,0.7407,102,1,1,0,0.2333,0,0,8.9,"org.eclipse.jetty.deploy.providers.ContextProvider",4,-21,21
"106","48311","jetty","7.6.16.v20140903","org.eclipse.jetty.deploy.providers.ScanningAppProvider",21,0,2,13,56,110,3,11,11,0.8444,315,1,1,0,0.2,0,0,13.5714,"org.eclipse.jetty.deploy.providers.ScanningAppProvider",64,-46,46
"107","48543","jetty","7.6.16.v20140903","org.eclipse.jetty.deploy.providers.WebAppProvider",14,0,0,8,54,45,0,8,14,0.8205,277,1,1,0,0.25,0,0,18.3571,"org.eclipse.jetty.deploy.providers.WebAppProvider",11,-34,34
"108","49005","jetty","7.6.16.v20140903","org.eclipse.jetty.http.AbstractGenerator",41,1,1,13,80,480,1,12,39,924,773,0.8,0,0,0.1694,0,0,17.2439,"org.eclipse.jetty.http.AbstractGenerator",360,-120,120
"109","49237","jetty","7.6.3.v20120416","org.eclipse.jetty.http.Generator",27,1,0,3,27,351,1,2,27,1.0385,29,0,0,0,0.2083,0,0,0,"org.eclipse.jetty.http.Generator",325,-26,26
"110","49312","jetty","7.6.16.v20140903","org.eclipse.jetty.http.gzip.CompressedResponseWrapper",31,0,0,2,76,221,1,2,27,0.8152,610,0.8182,1,0,0.2218,0,0,18.3226,"org.eclipse.jetty.http.gzip.CompressedResponseWrapper",140,-81,81
"111","49330","jetty","7.5.0.v20110901","org.eclipse.jetty.http.gzip.GzipResponseWrapper",25,0,0,2,64,162,0,2,21,0.7667,513,0.8,1,0,0.2552,0,0,19.12,"org.eclipse.jetty.http.gzip.GzipResponseWrapper",140,-22,22
"112","49421","jetty","7.6.16.v20140903","org.eclipse.jetty.http.HttpBuffers",18,1,0,3,18,153,1,2,18,2,18,0,0,0,463,0,0,0,"org.eclipse.jetty.http.HttpBuffers",114,-39,39
"113","49689","jetty","8.1.16.v20140903","org.eclipse.jetty.http.HttpContent$ResourceAsHttpContent",14,1,0,6,26,55,0,6,13,0.6769,175,0.2,0,0,0.3846,0,0,11.1429,"org.eclipse.jetty.http.HttpContent$ResourceAsHttpContent",0,-55,55
"114","49930","jetty","9.1.0.RC0","org.eclipse.jetty.http.HttpField",18,1,1,13,41,91,7,7,14,0.7647,644,0.7143,1,0,0.2745,0,0,34.3889,"org.eclipse.jetty.http.HttpField",24,-67,67
"115","50065","jetty","9.1.0.RC0","org.eclipse.jetty.http.HttpFields",56,1,2,26,157,1006,12,18,50,0.9369,1738,0.5882,0,0,0.1273,0,0,29.7321,"org.eclipse.jetty.http.HttpFields",560,-446,446
"116","50838","jetty","7.4.5.v20110725","org.eclipse.jetty.http.HttpFields$Field",27,1,0,12,52,165,5,7,9,0.6978,422,1,2,0,0.2593,0,0,14.3704,"org.eclipse.jetty.http.HttpFields$Field",21,-144,144
"117","51971","jetty","9.2.14.v20151106","org.eclipse.jetty.http.HttpParser",37,1,0,24,137,276,2,23,25,848,3562,0.8889,10,0,0.2118,0,0,94.2973,"org.eclipse.jetty.http.HttpParser",245,-31,31
