"","rn","SYSTEM","RELEASE","CLASS","WMC","DIT","NOC","CBO","RFC","LCOM","CA","CE","NPM","LCOM3","LOC","DAM","MOA","MFA","CAM","IC","CBM","AMC","nextClass","nextLCOM","deltaLCOM","absDeltaLCOM"
"707","336577","tomcat","7.0.72","org.apache.catalina.tribes.io.XByteBuffer",44,1,0,36,79,556,33,5,43,0.7741,1313,1,0,0,0.1814,0,0,28.6818,"org.apache.catalina.tribes.io.XByteBuffer",430,-126,126
"708","336840","tomcat","8.5.5","org.apache.catalina.tribes.Member",22,1,0,63,22,231,63,0,21,1,63,0,0,0,0.3214,0,0,1.8182,"org.apache.catalina.tribes.Member",190,-41,41
"709","337037","tomcat","7.0.72","org.apache.catalina.tribes.membership.McastService",70,1,0,18,135,1667,1,17,68,0.9017,1214,1,7,0,0.1215,0,0,16.1429,"org.apache.catalina.tribes.membership.McastService",757,-910,910
"710","337180","tomcat","8.0.37","org.apache.catalina.tribes.membership.McastServiceImpl",24,1,0,20,98,108,8,18,16,0.8725,972,1,8,0,0.1486,0,0,38.25,"org.apache.catalina.tribes.membership.McastServiceImpl",48,-60,60
"711","338036","tomcat","7.0.72","org.apache.catalina.tribes.membership.MemberImpl",50,1,1,20,88,939,17,5,48,0.8,1273,0.7,0,0,0.1612,1,1,24.06,"org.apache.catalina.tribes.membership.MemberImpl",868,-71,71
"712","338874","tomcat","8.5.5","org.apache.catalina.tribes.MembershipService",19,1,0,9,19,171,4,5,19,1.0556,21,0,0,0,0.1684,0,0,0,"org.apache.catalina.tribes.MembershipService",136,-35,35
"713","339133","tomcat","6.0.39","org.apache.catalina.tribes.tipis.AbstractReplicatedMap",67,3,2,20,184,1713,3,18,57,869,2760,0.8235,3,0.6176,0.1165,3,26,39.9403,"org.apache.catalina.tribes.tipis.AbstractReplicatedMap",1180,-533,533
"714","339301","tomcat","7.0.72","org.apache.catalina.tribes.tipis.AbstractReplicatedMap$MapEntry",25,1,0,5,38,224,2,3,25,0.8393,266,1,2,0,0.2114,1,1,9.36,"org.apache.catalina.tribes.tipis.AbstractReplicatedMap$MapEntry",183,-41,41
"715","339416","tomcat","7.0.72","org.apache.catalina.tribes.tipis.AbstractReplicatedMap$MapMessage",24,1,0,6,40,192,3,3,20,0.9511,421,0.4583,2,0,0.1515,0,0,15.5417,"org.apache.catalina.tribes.tipis.AbstractReplicatedMap$MapMessage",126,-66,66
"716","339632","tomcat","7.0.47","org.apache.catalina.tribes.tipis.LazyReplicatedMap",7,0,0,10,29,19,0,10,4,1,284,1,0,0,0.5167,0,0,39.2857,"org.apache.catalina.tribes.tipis.LazyReplicatedMap",0,-19,19
"717","340181","tomcat","7.0.72","org.apache.catalina.tribes.transport.AbstractSender",59,1,5,9,65,1459,7,2,58,0.9489,474,1,1,0,0.2082,0,0,6.5932,"org.apache.catalina.tribes.transport.AbstractSender",1344,-115,115
