SYSTEM,RELEASE,CLASS,WMC,DIT,NOC,CBO,RFC,CA,CE,LCOM,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC,REFACT,LCOM
xerces,1.0.4,org.apache.wml.dom.WMLPrevElementImpl,5.0,0.0,0.0,4.0,8.0,0.0,4.0,0,5.0,2.0,28.0,0.0,0.0,0.0,0.6,0.0,0.0,4.6,0.0,0
xerces,1.0.4,org.apache.html.dom.HTMLTextAreaElementImpl,23.0,0.0,0.0,4.0,32.0,0.0,4.0,0,23.0,2.0,149.0,0.0,0.0,0.0,0.2957,0.0,0.0,54783.0,0.0,0
xerces,1.0.4,org.apache.html.dom.HTMLHeadingElementImpl,3.0,0.0,0.0,3.0,6.0,0.0,3.0,0,3.0,2.0,17.0,0.0,0.0,0.0,0.6667,0.0,0.0,46667.0,0.0,0
xerces,1.0.4,org.apache.html.dom.HTMLLIElementImpl,5.0,0.0,0.0,3.0,10.0,0.0,3.0,0,5.0,2.0,31.0,0.0,0.0,0.0,0.45,0.0,0.0,5.2,0.0,0
xerces,1.0.4,org.apache.html.dom.HTMLFrameSetElementImpl,5.0,0.0,0.0,3.0,8.0,0.0,3.0,0,5.0,2.0,28.0,0.0,0.0,0.0,0.6,0.0,0.0,4.6,0.0,0
xerces,1.0.4,org.apache.wml.dom.WMLAccessElementImpl,9.0,0.0,0.0,4.0,12.0,0.0,4.0,0,9.0,2.0,50.0,0.0,0.0,0.0,0.5556,0.0,0.0,45556.0,0.0,0
xerces,1.0.4,org.apache.html.dom.HTMLHeadElementImpl,3.0,0.0,0.0,3.0,6.0,1.0,3.0,0,3.0,2.0,17.0,0.0,0.0,0.0,0.6667,0.0,0.0,46667.0,0.0,0
xerces,1.0.4,org.apache.wml.dom.WMLOptionElementImpl,13.0,0.0,0.0,4.0,16.0,0.0,4.0,0,13.0,2.0,72.0,0.0,0.0,0.0,0.5385,0.0,0.0,45385.0,0.0,0
xerces,1.0.4,org.apache.html.dom.HTMLBaseElementImpl,5.0,0.0,0.0,3.0,8.0,0.0,3.0,2,5.0,2.0,28.0,0.0,0.0,0.0,0.6,0.0,0.0,4.6,0.0,2
xerces,1.0.4,org.apache.html.dom.HTMLOptionElementImpl,15.0,0.0,0.0,6.0,39.0,1.0,5.0,2,15.0,2.0,195.0,0.0,0.0,0.0,0.32,0.0,0.0,12.0,0.0,2
xerces,1.0.4,org.apache.html.dom.HTMLFrameElementImpl,17.0,0.0,0.0,3.0,23.0,0.0,3.0,2,17.0,2.0,96.0,0.0,0.0,0.0,0.3971,0.0,0.0,46471.0,0.0,2
xerces,1.0.4,org.apache.html.dom.HTMLDirectoryElementImpl,3.0,0.0,0.0,2.0,6.0,0.0,2.0,2,3.0,2.0,17.0,0.0,0.0,0.0,0.5,0.0,0.0,46667.0,0.0,2
xerces,1.0.4,org.apache.html.dom.HTMLTableCaptionElementImpl,3.0,0.0,0.0,4.0,6.0,1.0,3.0,2,3.0,2.0,17.0,0.0,0.0,0.0,0.6667,0.0,0.0,46667.0,0.0,2
xerces,1.0.4,org.apache.html.dom.HTMLFormElementImpl,17.0,0.0,0.0,4.0,23.0,0.0,4.0,2,17.0,0.9375,98.0,1.0,1.0,0.0,0.4902,0.0,0.0,47059.0,0.0,2
